Timestamp,Qubit,T1 (us),T1 sigma,T2 (us),T2 sigma
2025-05-09 05:07:36,Qubit1,29.688104,1.896059,1.127273,0.209687
2025-05-09 05:07:36,Qubit4,56.519695,5.628703,0.577567,0.775983
2025-05-09 05:11:01,Qubit1,23.671437,1.374052,1.146762,0.229542
2025-05-09 05:11:01,Qubit4,50.804537,4.177557,0.577567,0.779588
2025-05-09 05:14:25,Qubit1,26.619966,1.285681,1.207686,0.268038
2025-05-09 05:14:25,Qubit4,56.037393,5.649560,0.577567,0.888706
2025-05-09 05:17:49,Qubit1,24.946817,1.245663,1.185511,0.272894
2025-05-09 05:17:49,Qubit4,62.059688,5.517646,0.577567,0.703945
2025-05-09 05:21:14,Qubit1,27.681476,1.497684,1.066322,0.203041
2025-05-09 05:21:14,Qubit4,57.995038,5.634571,0.577567,0.781435
2025-05-09 05:24:38,Qubit1,20.539490,1.025442,1.066332,0.238036
2025-05-09 05:24:38,Qubit4,46.464697,3.643413,0.577567,209.330866
2025-05-09 05:28:03,Qubit1,18.980485,0.842736,0.988781,0.198930
2025-05-09 05:28:03,Qubit4,51.567908,5.420822,0.577567,0.812824
2025-05-09 05:31:27,Qubit1,23.550315,1.382950,1.174569,0.264185
2025-05-09 05:31:27,Qubit4,47.434613,4.508498,0.577567,0.761294
2025-05-09 05:34:51,Qubit1,19.759270,1.132997,1.167102,0.242038
2025-05-09 05:34:51,Qubit4,57.685314,6.140692,0.577567,76.256122
2025-05-09 05:38:16,Qubit1,23.921546,1.157271,1.228936,0.273723
2025-05-09 05:38:16,Qubit4,44.886745,3.852418,0.577567,0.754362
2025-05-09 05:41:40,Qubit1,24.348752,1.323348,1.101060,0.260901
2025-05-09 05:41:40,Qubit4,51.220088,4.941520,0.577567,0.652679
2025-05-09 05:45:04,Qubit1,24.093913,1.133241,1.122238,0.259145
2025-05-09 05:45:05,Qubit4,56.878139,7.243574,0.577567,0.795709
2025-05-09 05:48:29,Qubit1,23.129531,1.151800,1.173444,0.239757
2025-05-09 05:48:29,Qubit4,53.485699,6.055233,0.992642,0.206813
2025-05-09 05:51:54,Qubit1,24.222908,1.260088,1.154216,0.228730
2025-05-09 05:51:54,Qubit4,66.802720,8.052213,0.577567,0.693777
2025-05-09 05:55:18,Qubit1,23.968615,1.275877,1.138043,0.215975
2025-05-09 05:55:18,Qubit4,58.827252,7.365896,0.577567,0.879132
2025-05-09 05:58:42,Qubit1,23.031241,1.127375,1.156825,0.266340
2025-05-09 05:58:43,Qubit4,55.218584,5.155366,0.577567,0.771245
2025-05-09 06:02:07,Qubit1,25.906020,1.816636,1.150632,0.258499
2025-05-09 06:02:07,Qubit4,57.971455,6.193318,0.577567,0.740014
2025-05-09 06:05:31,Qubit1,23.793962,1.185647,1.169867,0.261218
2025-05-09 06:05:31,Qubit4,60.488283,6.287095,0.577567,0.817738
2025-05-09 06:08:56,Qubit1,21.774010,1.218354,1.098414,0.247386
2025-05-09 06:08:56,Qubit4,56.954623,6.242110,0.577567,0.789678
2025-05-09 06:12:20,Qubit1,23.132122,1.188263,1.155734,0.267265
2025-05-09 06:12:20,Qubit4,46.697101,4.724737,0.577567,0.794709
2025-05-09 06:15:44,Qubit1,21.887671,1.325933,1.151265,0.281959
2025-05-09 06:15:44,Qubit4,56.206668,5.727808,0.577567,0.776485
2025-05-09 06:19:09,Qubit1,23.782292,1.281244,1.214358,0.273074
2025-05-09 06:19:09,Qubit4,56.852979,5.340530,0.577567,0.718774
2025-05-09 06:22:33,Qubit1,23.150507,1.195681,1.044695,0.244381
2025-05-09 06:22:33,Qubit4,50.168696,4.979845,0.577567,0.766166
2025-05-09 06:25:58,Qubit1,21.947698,0.967546,1.077960,0.258660
2025-05-09 06:25:58,Qubit4,51.686581,4.861755,0.577567,0.824768
2025-05-09 06:29:22,Qubit1,22.296280,1.136926,1.222328,0.249435
2025-05-09 06:29:22,Qubit4,60.963071,7.933410,0.577567,0.820212
2025-05-09 06:32:46,Qubit1,27.567735,1.401551,1.134888,0.274313
2025-05-09 06:32:47,Qubit4,56.334856,6.196497,0.577567,0.763060
2025-05-09 06:36:11,Qubit1,28.089850,1.650874,1.043019,0.238551
2025-05-09 06:36:11,Qubit4,56.053219,5.317188,0.577567,0.717243
2025-05-09 06:39:35,Qubit1,24.376858,1.076565,1.258365,0.288067
2025-05-09 06:39:35,Qubit4,46.665459,3.687902,0.577567,0.798515
2025-05-09 06:43:00,Qubit1,27.933991,1.476619,1.129034,0.242357
2025-05-09 06:43:00,Qubit4,54.751343,5.272962,0.577567,0.686134
2025-05-09 06:46:24,Qubit1,23.846930,1.108607,1.224748,0.304640
2025-05-09 06:46:24,Qubit4,55.006573,6.083549,0.577567,0.757717
2025-05-09 06:49:49,Qubit1,25.328896,1.205902,1.118364,0.256104
2025-05-09 06:49:49,Qubit4,44.809269,4.115162,0.577567,0.717054
2025-05-09 06:53:13,Qubit1,27.555099,1.431639,1.192814,0.291028
2025-05-09 06:53:13,Qubit4,46.992605,4.530183,0.577567,0.818332
2025-05-09 06:56:38,Qubit1,24.142818,1.172192,1.121718,0.260839
2025-05-09 06:56:38,Qubit4,43.074258,4.102245,0.577567,0.480342
2025-05-09 07:00:02,Qubit1,25.647800,1.249171,1.279665,0.272259
2025-05-09 07:00:02,Qubit4,37.869310,3.920649,0.674320,0.439459
2025-05-09 07:03:26,Qubit1,24.225919,1.210581,1.252703,0.262723
2025-05-09 07:03:27,Qubit4,56.321729,6.410909,0.577567,0.774579
2025-05-09 07:06:51,Qubit1,22.252529,1.113262,1.173600,0.283593
2025-05-09 07:06:51,Qubit4,59.564348,5.502107,0.577567,0.750897
2025-05-09 07:10:15,Qubit1,22.820679,1.114827,1.125829,0.231379
2025-05-09 07:10:15,Qubit4,61.765693,7.511928,0.577567,0.536504
2025-05-09 07:13:40,Qubit1,24.167141,1.287865,1.197647,0.271483
2025-05-09 07:13:40,Qubit4,56.597027,6.356097,0.577567,0.761041
2025-05-09 07:17:04,Qubit1,25.766146,1.264098,1.106386,0.242604
2025-05-09 07:17:04,Qubit4,58.014903,6.495614,0.577567,0.757947
2025-05-09 07:20:28,Qubit1,25.515655,1.275103,1.099369,0.219223
2025-05-09 07:20:28,Qubit4,57.075953,4.569278,0.577567,0.760819
2025-05-09 07:23:53,Qubit1,27.704583,1.476808,1.119971,0.194045
2025-05-09 07:23:53,Qubit4,56.063425,6.000991,1.304615,0.276639
2025-05-09 07:27:17,Qubit1,23.678398,1.232046,1.207807,0.240624
2025-05-09 07:27:17,Qubit4,52.216487,4.009016,0.577567,0.689813
2025-05-09 07:30:42,Qubit1,24.003251,1.116166,1.095409,0.218919
2025-05-09 07:30:42,Qubit4,50.048300,5.313767,1.367409,0.331158
2025-05-09 07:34:06,Qubit1,23.623016,1.107743,1.180596,0.223707
2025-05-09 07:34:06,Qubit4,53.131788,5.093254,0.577567,0.843241
2025-05-09 07:37:31,Qubit1,24.765829,1.246809,1.210366,0.279324
2025-05-09 07:37:31,Qubit4,52.991913,4.712298,1.289736,0.319821
2025-05-09 07:40:55,Qubit1,23.135283,1.099236,1.118819,0.232377
2025-05-09 07:40:55,Qubit4,50.425217,4.558488,201035.356301,0.000103
2025-05-09 07:44:19,Qubit1,24.892627,1.292785,1.081573,0.236950
2025-05-09 07:44:20,Qubit4,45.516138,4.118494,0.577567,0.711165
2025-05-09 07:47:43,Qubit1,23.410865,0.998578,1.033429,0.196618
2025-05-09 07:47:44,Qubit4,52.671779,4.641633,1.128493,0.229359
2025-05-09 07:51:08,Qubit1,24.752071,1.344137,1.123109,0.234763
2025-05-09 07:51:08,Qubit4,61.386903,6.748873,1.343408,0.278784
2025-05-09 07:54:32,Qubit1,25.696402,1.218053,1.062989,0.201484
2025-05-09 07:54:33,Qubit4,55.764760,4.323437,1.231238,0.271520
2025-05-09 07:57:57,Qubit1,25.224019,1.362511,1.100813,0.222279
2025-05-09 07:57:57,Qubit4,56.196202,5.234611,1.245308,0.339391
2025-05-09 08:01:22,Qubit1,25.891501,1.352783,1.155363,0.225676
2025-05-09 08:01:22,Qubit4,51.552655,4.258386,1.314855,0.361671
2025-05-09 08:04:46,Qubit1,24.978392,1.235629,1.160555,0.254816
2025-05-09 08:04:46,Qubit4,60.574355,6.422946,1.327999,0.344772
2025-05-09 08:08:10,Qubit1,25.355788,1.156729,1.163336,0.250016
2025-05-09 08:08:11,Qubit4,63.514824,7.491507,1.321712,0.379081
2025-05-09 08:11:35,Qubit1,26.743154,1.151238,1.080294,0.253743
2025-05-09 08:11:35,Qubit4,58.803079,5.115561,1.179468,0.314380
2025-05-09 08:14:59,Qubit1,27.210072,1.441554,1.062686,0.220772
2025-05-09 08:14:59,Qubit4,58.768491,5.396388,1.220770,0.303229
2025-05-09 08:18:23,Qubit1,25.943319,1.248065,1.134188,0.214514
2025-05-09 08:18:24,Qubit4,54.701775,4.442949,1.375428,0.305512
2025-05-09 08:21:48,Qubit1,26.298967,1.306644,1.012963,0.192461
2025-05-09 08:21:48,Qubit4,61.399456,5.328799,1.332471,0.327432
2025-05-09 08:25:12,Qubit1,24.910133,1.234543,1.051241,0.226882
2025-05-09 08:25:12,Qubit4,50.945481,4.025465,1.292863,0.347906
2025-05-09 08:28:37,Qubit1,26.410366,1.285994,0.976252,0.187013
2025-05-09 08:28:37,Qubit4,49.328734,3.425206,1.213157,0.253147
2025-05-09 08:32:01,Qubit1,26.843911,1.362290,1.053359,0.200878
2025-05-09 08:32:02,Qubit4,50.173612,3.409533,1.232273,0.287393
2025-05-09 08:35:26,Qubit1,25.932098,1.342767,1.090809,0.232141
2025-05-09 08:35:26,Qubit4,51.216155,4.300222,1.147090,0.319264
2025-05-09 08:38:50,Qubit1,26.747320,1.347978,1.117559,0.215066
2025-05-09 08:38:51,Qubit4,45.754766,3.853827,1.221050,0.265554
2025-05-09 08:42:15,Qubit1,28.666780,1.519011,1.119150,0.210744
2025-05-09 08:42:15,Qubit4,45.886527,3.922534,1.216988,0.273809
2025-05-09 08:45:39,Qubit1,25.106710,1.252173,1.023282,0.190638
2025-05-09 08:45:39,Qubit4,42.068973,3.459409,1.149721,0.229107
2025-05-09 08:49:04,Qubit1,26.756116,1.437095,1.146248,0.262562
2025-05-09 08:49:04,Qubit4,41.641002,3.092385,1.251167,0.258738
2025-05-09 08:52:28,Qubit1,27.639888,1.594011,1.123519,0.216473
2025-05-09 08:52:28,Qubit4,44.823555,3.331562,1.290320,0.274745
2025-05-09 08:55:53,Qubit1,24.636042,1.198695,0.933122,0.179051
2025-05-09 08:55:53,Qubit4,51.754963,3.980541,1.241125,0.227676
2025-05-09 08:59:17,Qubit1,27.008458,1.338801,1.049811,0.177630
2025-05-09 08:59:17,Qubit4,57.392105,4.482329,1.249565,0.263089
2025-05-09 09:02:41,Qubit1,27.632108,1.186564,1.066015,0.201721
2025-05-09 09:02:42,Qubit4,53.100208,4.775947,1.140904,0.224485
2025-05-09 09:06:06,Qubit1,26.593873,1.379535,1.108253,0.190834
2025-05-09 09:06:06,Qubit4,51.805712,3.774096,1.168506,0.223772
2025-05-09 09:09:30,Qubit1,28.366770,1.662217,1.051674,0.228909
2025-05-09 09:09:30,Qubit4,42.588083,3.307553,1.256512,0.269571
2025-05-09 09:12:55,Qubit1,27.576048,1.544970,1.019045,0.183734
2025-05-09 09:12:55,Qubit4,48.466847,3.848923,1.196078,0.298835
2025-05-09 09:16:19,Qubit1,26.947308,1.610581,1.054162,0.215986
2025-05-09 09:16:19,Qubit4,38.081807,2.802824,1.178681,0.262612
2025-05-09 09:19:43,Qubit1,26.834354,1.314284,1.027843,0.205511
2025-05-09 09:19:44,Qubit4,41.555087,3.398071,1.202373,0.235526
2025-05-09 09:23:08,Qubit1,27.782511,1.513845,1.040445,0.229187
2025-05-09 09:23:08,Qubit4,43.590287,3.709945,1.315324,0.283319
2025-05-09 09:26:30,Qubit1,27.936478,1.389586,1.148439,0.183073
2025-05-09 09:26:31,Qubit4,55.739133,5.032664,1.202892,0.222161
2025-05-09 09:29:55,Qubit1,26.816792,1.317647,1.121193,0.220983
2025-05-09 09:29:55,Qubit4,48.122697,3.881490,1.155032,0.251399
2025-05-09 09:33:19,Qubit1,26.991860,1.175433,1.075695,0.183909
2025-05-09 09:33:19,Qubit4,57.261893,4.218455,1.246939,0.257738
2025-05-09 09:36:44,Qubit1,28.544887,1.326107,1.041416,0.193478
2025-05-09 09:36:44,Qubit4,48.487180,3.593732,1.221407,0.239319
2025-05-09 09:40:08,Qubit1,26.521589,1.122337,1.130325,0.229117
2025-05-09 09:40:08,Qubit4,70.132454,6.493851,1.371712,0.332893
2025-05-09 09:43:33,Qubit1,27.820131,1.411457,1.051274,0.205707
2025-05-09 09:43:33,Qubit4,56.265098,4.535232,1.317111,0.257983
2025-05-09 09:46:57,Qubit1,24.203382,1.267183,0.986805,0.195192
2025-05-09 09:46:57,Qubit4,52.868450,3.493231,1.095307,0.201439
2025-05-09 09:50:21,Qubit1,21.190136,1.192783,1.027026,0.211758
2025-05-09 09:50:22,Qubit4,43.530152,3.538651,1.109018,0.209988
2025-05-09 09:53:46,Qubit1,25.067842,1.400860,1.048018,0.173406
2025-05-09 09:53:46,Qubit4,41.762481,2.384851,1.153638,0.235186
2025-05-09 09:57:10,Qubit1,26.806851,1.459919,1.150037,0.216721
2025-05-09 09:57:10,Qubit4,45.753584,3.447701,1.085771,0.228233
2025-05-09 10:00:34,Qubit1,25.097217,1.357670,1.129618,0.194279
2025-05-09 10:00:35,Qubit4,51.887560,3.914346,1.062675,0.229982
2025-05-09 10:03:59,Qubit1,23.289917,1.276266,1.036921,0.190729
2025-05-09 10:03:59,Qubit4,43.449872,3.600549,1.068746,0.189160
2025-05-09 10:07:23,Qubit1,25.830087,1.472880,1.072576,0.203018
2025-05-09 10:07:23,Qubit4,43.676191,2.958691,1.148846,0.215630
2025-05-09 10:10:48,Qubit1,24.277199,1.317818,1.067795,0.201708
2025-05-09 10:10:48,Qubit4,46.334106,3.456682,1.111226,0.194640
2025-05-09 10:14:12,Qubit1,25.740945,1.281461,1.039602,0.199668
2025-05-09 10:14:13,Qubit4,47.544229,3.258640,1.199540,0.234672
2025-05-09 10:17:37,Qubit1,25.041566,1.266892,0.954403,0.195951
2025-05-09 10:17:37,Qubit4,46.585437,3.560070,1.116385,0.189287
2025-05-09 10:21:01,Qubit1,26.279404,1.263443,1.089156,0.196120
2025-05-09 10:21:01,Qubit4,51.286224,3.824284,1.123082,0.160571
2025-05-09 10:24:26,Qubit1,27.419422,1.408788,1.051974,0.194730
2025-05-09 10:24:26,Qubit4,41.866091,3.422433,1.087421,0.194035
2025-05-09 10:27:50,Qubit1,25.712418,1.297435,1.007946,0.212258
2025-05-09 10:27:50,Qubit4,50.450956,3.884693,1.165377,0.219922
2025-05-09 10:31:14,Qubit1,26.316314,1.375798,1.225811,0.267165
2025-05-09 10:31:15,Qubit4,54.280466,4.268752,1.168097,0.206011
2025-05-09 10:34:39,Qubit1,25.760464,1.291809,1.154670,0.219991
2025-05-09 10:34:39,Qubit4,48.963180,3.558566,1.078955,0.201929
2025-05-09 10:38:03,Qubit1,28.986816,1.268633,1.088128,0.184195
2025-05-09 10:38:03,Qubit4,51.290662,4.080546,1.078200,0.174193
2025-05-09 10:41:27,Qubit1,27.827361,1.513751,0.989192,0.154602
2025-05-09 10:41:27,Qubit4,47.557394,3.548732,1.101214,0.197040
2025-05-09 10:44:51,Qubit1,29.506392,1.469743,1.024169,0.170108
2025-05-09 10:44:51,Qubit4,38.831076,2.624257,1.258123,0.241058
2025-05-09 10:48:16,Qubit1,24.954476,1.367282,1.022811,0.174925
2025-05-09 10:48:16,Qubit4,40.545042,2.493777,1.192315,0.256530
2025-05-09 10:51:40,Qubit1,23.542122,1.175073,1.000508,0.186191
2025-05-09 10:51:40,Qubit4,46.007443,3.247107,1.108746,0.216396
